Expenditure category,All items,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Food away from home(1),Energy,Energy commodities,Fuel oil,Motor fuel,Gasoline (all types),Energy services,Electricity,Utility (piped) gas service,All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Used cars and trucks,Medical care commodities(1),Alcoholic beverages,Tobacco and smoking products(1),Services less energy services,Shelter,Rent of primary residence,Owners' equivalent rent of residences(2),Medical care services,Physicians' services(1),Hospital services(1)(3),Transportation services,Motor vehicle maintenance and repair(1),Motor vehicle insurance,Airline fares
RelativeimportanceNov.2020,100.0,14.082,7.753,0.999,1.743,0.785,1.341,0.923,1.963,6.33,6.044,2.919,0.076,2.782,2.721,3.125,2.42,0.705,79.874,20.279,2.716,3.734,2.778,1.586,1.041,0.605,59.595,33.32,7.86,24.253,7.311,1.821,2.223,5.189,1.1,1.577,0.687
RelativeimportanceDec.2020,100.0,14.119,7.772,1.001,1.736,0.792,1.341,0.93,1.972,6.347,6.155,3.02,0.084,2.875,2.811,3.135,2.425,0.71,79.726,20.2,2.663,3.756,2.75,1.58,1.038,0.608,59.526,33.316,7.862,24.263,7.289,1.817,2.221,5.142,1.099,1.598,0.633
RelativeimportanceJan.2021,100.0,14.107,7.765,0.994,1.738,0.788,1.35,0.938,1.957,6.342,6.349,3.214,0.088,3.059,2.993,3.135,2.424,0.711,79.544,20.205,2.73,3.748,2.716,1.572,1.035,0.616,59.339,33.233,7.836,24.195,7.317,1.838,2.234,5.093,1.097,1.609,0.614
RelativeimportanceFeb.2021,100.0,14.052,7.741,0.993,1.733,0.78,1.343,0.935,1.958,6.311,6.561,3.418,0.096,3.251,3.181,3.143,2.431,0.712,79.387,20.172,2.766,3.731,2.711,1.553,1.03,0.617,59.215,33.125,7.804,24.115,7.323,1.865,2.227,5.095,1.094,1.626,0.6
RelativeimportanceMar.2021,100.0,13.976,7.702,0.988,1.733,0.77,1.339,0.928,1.945,6.274,6.899,3.774,0.099,3.606,3.529,3.125,2.409,0.717,79.125,20.116,2.763,3.7,2.757,1.543,1.025,0.616,59.009,33.004,7.76,23.991,7.28,1.857,2.223,5.111,1.097,1.628,0.595
RelativeimportanceApr.2021,100.0,13.928,7.686,0.982,1.738,0.767,1.344,0.918,1.937,6.242,6.941,3.809,0.095,3.648,3.57,3.133,2.412,0.721,79.131,20.325,2.739,3.684,2.998,1.539,1.019,0.612,58.806,32.857,7.709,23.838,7.209,1.836,2.205,5.2,1.09,1.622,0.668
RelativeimportanceMay2021,100.0,13.874,7.647,0.979,1.751,0.762,1.336,0.902,1.918,6.226,7.073,3.929,0.096,3.768,3.69,3.144,2.418,0.726,79.053,20.473,2.724,3.709,3.166,1.526,1.013,0.608,58.58,32.704,7.664,23.713,7.141,1.821,2.186,5.265,1.078,1.613,0.744
RelativeimportanceJun.2021,100.0,13.846,7.633,0.97,1.781,0.754,1.322,0.902,1.905,6.213,7.168,3.979,0.098,3.816,3.737,3.19,2.457,0.733,78.986,20.694,2.685,3.74,3.474,1.506,1.008,0.606,58.292,32.575,7.611,23.575,7.066,1.809,2.167,5.285,1.071,1.6,0.756
RelativeimportanceJul.2021,100.0,13.875,7.644,0.975,1.797,0.754,1.306,0.901,1.912,6.231,7.255,4.055,0.098,3.892,3.811,3.2,2.457,0.743,78.87,20.673,2.644,3.779,3.485,1.502,1.005,0.606,58.197,32.573,7.589,23.533,7.05,1.808,2.167,5.219,1.076,1.586,0.714
RelativeimportanceAug.2021,100.0,13.897,7.652,0.971,1.802,0.749,1.306,0.91,1.915,6.245,7.294,4.071,0.096,3.909,3.828,3.223,2.467,0.756,78.809,20.724,2.686,3.806,3.427,1.496,1.007,0.606,58.085,32.552,7.6,23.555,7.055,1.804,2.178,5.094,1.082,1.579,0.623
RelativeimportanceSep.2021,100.0,13.977,7.716,0.979,1.827,0.753,1.31,0.918,1.929,6.261,7.322,4.08,0.099,3.911,3.83,3.242,2.469,0.773,78.701,20.686,2.727,3.834,3.291,1.496,1.006,0.608,58.016,32.576,7.613,23.594,7.024,1.794,2.176,5.018,1.079,1.575,0.58
RelativeimportanceOct.2021,100.0,13.995,7.733,0.979,1.838,0.75,1.311,0.92,1.935,6.262,7.469,4.207,0.111,4.022,3.937,3.262,2.446,0.816,78.536,20.755,2.725,3.856,3.35,1.493,0.997,0.615,57.781,32.425,7.585,23.514,7.002,1.78,2.171,5.012,1.085,1.557,0.596
RelativeimportanceNov.2021,100.0,13.99,7.722,0.978,1.84,0.746,1.305,0.909,1.942,6.269,7.542,4.304,0.114,4.115,4.027,3.238,2.412,0.825,78.468,20.768,2.669,3.884,3.419,1.487,0.993,0.617,57.7,32.393,7.583,23.509,6.987,1.777,2.154,5.046,1.08,1.56,0.619
RelativeimportanceDec.2021,100.0,13.37,8.165,1.03,1.888,0.752,1.408,0.933,2.153,5.205,7.348,4.014,0.115,3.822,3.748,3.334,2.454,0.879,79.282,21.699,2.458,4.105,4.143,1.524,0.889,0.526,57.583,32.946,7.398,24.251,6.962,1.9,2.199,5.599,1.038,2.383,0.481
RelativeimportanceJan.2022,100.0,13.388,8.193,1.039,1.878,0.756,1.42,0.935,2.164,5.195,7.413,3.995,0.125,3.794,3.72,3.418,2.543,0.875,79.199,21.804,2.498,4.094,4.17,1.525,0.886,0.522,57.395,32.802,7.374,24.151,6.971,1.883,2.209,5.597,1.031,2.388,0.481
RelativeimportanceFeb.2022,100.0,13.405,8.234,1.043,1.878,0.761,1.434,0.944,2.174,5.171,7.547,4.173,0.134,3.961,3.883,3.374,2.502,0.872,79.048,21.815,2.551,4.067,4.167,1.517,0.886,0.52,57.233,32.695,7.345,24.035,6.932,1.864,2.19,5.635,1.04,2.409,0.502
RelativeimportanceMar.2022,100.0,13.361,8.245,1.047,1.878,0.759,1.432,0.942,2.188,5.116,8.295,4.926,0.161,4.685,4.59,3.369,2.511,0.858,78.344,21.513,2.538,4.014,4.038,1.5,0.878,0.516,56.831,32.452,7.278,23.816,6.881,1.849,2.17,5.673,1.023,2.397,0.543
RelativeimportanceApr.2022,100.0,13.421,8.304,1.052,1.899,0.773,1.432,0.95,2.198,5.117,8.255,4.862,0.165,4.619,4.519,3.393,2.521,0.873,78.324,21.403,2.489,4.031,3.992,1.492,0.877,0.515,56.921,32.437,7.275,23.782,6.869,1.842,2.165,5.829,1.022,2.397,0.659
RelativeimportanceMay2022,100.0,13.423,8.324,1.058,1.906,0.785,1.425,0.95,2.201,5.099,8.665,5.194,0.191,4.927,4.82,3.471,2.541,0.93,77.912,21.249,2.459,4.026,3.975,1.48,0.87,0.514,56.663,32.285,7.239,23.657,6.821,1.819,2.146,5.855,1.016,2.379,0.756
RelativeimportanceJun.2022,100.0,13.372,8.295,1.064,1.887,0.785,1.402,0.945,2.212,5.077,9.2,5.598,0.186,5.337,5.227,3.602,2.609,0.993,77.428,21.122,2.419,3.999,4.008,1.465,0.862,0.51,56.306,32.065,7.195,23.502,6.772,1.797,2.117,5.9,1.023,2.384,0.745
RelativeimportanceJul.2022,100.0,13.527,8.414,1.086,1.9,0.798,1.407,0.964,2.259,5.113,8.782,5.17,0.165,4.931,4.824,3.612,2.658,0.954,77.691,21.168,2.391,4.024,4.021,1.474,0.865,0.511,56.523,32.247,7.246,23.654,6.807,1.802,2.129,5.872,1.034,2.407,0.673
RelativeimportanceAug.2022,100.0,13.635,8.475,1.098,1.905,0.804,1.413,0.973,2.283,5.16,8.244,4.565,0.156,4.336,4.238,3.679,2.688,0.992,78.121,21.288,2.433,4.049,4.008,1.478,0.869,0.517,56.833,32.47,7.304,23.837,6.864,1.807,2.146,5.86,1.052,2.431,0.615
RelativeimportanceSep.2022,100.0,13.705,8.507,1.105,1.904,0.806,1.431,0.978,2.284,5.197,8.01,4.31,0.151,4.086,3.99,3.7,2.685,1.016,78.285,21.175,2.482,4.056,3.83,1.474,0.868,0.517,57.11,32.622,7.352,23.977,6.894,1.811,,5.946,1.069,2.461,0.614
RelativeimportanceOct.2022,100.0,13.744,8.52,1.107,1.907,0.805,1.424,0.983,2.294,5.225,8.059,4.448,0.18,4.195,4.096,3.611,2.64,0.971,78.197,21.026,2.458,4.06,3.726,1.468,0.871,0.516,57.171,32.706,7.378,24.043,6.832,1.805,2.134,5.994,1.072,2.501,0.633
RelativeimportanceNov.2022,100.0,13.781,8.525,1.118,1.898,0.811,1.431,0.981,2.285,5.257,7.868,4.308,0.183,4.052,3.951,3.56,2.61,0.95,78.35,20.882,2.409,4.068,3.624,1.472,0.877,0.52,57.469,32.929,7.447,24.235,6.788,1.807,2.123,6.018,1.087,2.532,0.63
RelativeimportanceDec.2022,100.0,13.531,8.728,1.164,1.847,0.818,1.512,1.039,2.347,4.803,6.921,3.49,0.15,3.275,3.172,3.431,2.541,0.89,79.548,21.361,2.479,4.313,2.668,1.455,0.845,0.494,58.187,34.413,7.528,25.424,6.653,1.855,1.94,5.75,1.104,2.511,0.587
RelativeimportanceJan.2023,100.0,13.521,8.727,1.169,1.846,0.813,1.508,1.046,2.344,4.795,7.076,3.556,0.147,3.344,3.246,3.52,2.579,0.941,79.403,21.325,2.525,4.299,2.605,1.459,0.843,0.493,58.078,34.393,7.521,25.385,6.591,1.838,1.934,5.752,1.11,2.528,0.574
RelativeimportanceFeb.2023,100.0,13.507,8.708,1.168,1.83,0.81,1.501,1.053,2.347,4.798,6.995,3.578,0.135,3.379,3.283,3.417,2.568,0.849,79.498,21.323,2.592,4.288,2.554,1.453,0.838,0.496,58.175,34.473,7.533,25.411,6.525,1.819,1.923,5.812,1.106,2.554,0.606
RelativeimportanceMar.2023,100.0,13.474,8.663,1.174,1.804,0.804,1.473,1.051,2.357,4.811,6.908,3.588,0.129,3.394,3.304,3.32,2.542,0.779,79.617,21.344,2.605,4.286,2.57,1.457,0.836,0.498,58.274,34.586,7.542,25.437,6.47,1.809,1.909,5.871,1.106,2.578,0.616
RelativeimportanceApr.2023,100.0,13.436,8.632,1.168,1.799,0.799,1.467,1.043,2.354,4.804,6.978,3.732,0.123,3.547,3.459,3.247,2.511,0.735,79.586,21.347,2.565,4.278,2.673,1.456,0.836,0.496,58.238,34.564,7.542,25.432,6.423,1.799,1.909,5.884,1.106,2.591,0.63
RelativeimportanceMay2023,100.0,13.431,8.616,1.166,1.778,0.793,1.484,1.044,2.351,4.815,6.874,3.661,0.113,3.488,3.403,3.213,2.495,0.719,79.695,21.378,2.552,4.278,2.752,1.462,0.838,0.497,58.317,34.674,7.558,25.497,6.4,1.785,1.923,5.915,1.11,2.628,0.636
RelativeimportanceJun.2023,100.0,13.4,8.582,1.166,1.77,0.787,1.478,1.039,2.344,4.818,6.951,3.667,0.112,3.497,3.415,3.283,2.574,0.709,79.649,21.321,2.526,4.27,2.776,1.46,0.836,0.496,58.328,34.728,7.569,25.54,6.377,1.792,1.925,5.917,1.121,2.657,0.593
RelativeimportanceJul.2023,100.0,13.415,8.598,1.168,1.777,0.788,1.479,1.036,2.35,4.817,6.961,3.682,0.115,3.509,3.428,3.28,2.559,0.721,79.624,21.208,2.496,4.264,2.766,1.464,0.834,0.498,58.416,34.81,7.585,25.616,6.347,1.792,1.912,5.92,1.131,2.697,0.537
RelativeimportanceAug.2023,100.0,13.38,8.568,1.163,1.777,0.782,1.467,1.035,2.343,4.813,7.162,3.888,0.125,3.705,3.616,3.274,2.552,0.722,79.457,21.117,2.525,4.246,2.715,1.466,0.832,0.499,58.34,34.749,7.59,25.613,6.331,1.786,1.917,5.951,1.138,2.743,0.52
RelativeimportanceSep.2023,100.0,13.372,8.552,1.157,1.78,0.78,1.466,1.033,2.337,4.82,7.185,3.915,0.136,3.722,3.628,3.27,2.562,0.709,79.443,20.954,2.555,4.237,2.556,1.458,0.834,0.498,58.489,34.863,7.614,25.696,6.324,1.782,1.941,5.966,1.138,2.77,0.519
RelativeimportanceOct.2023,100.0,13.42,8.58,1.158,1.794,0.78,1.47,1.034,2.343,4.84,6.963,3.724,0.135,3.531,3.438,3.239,2.524,0.715,79.617,20.914,2.549,4.231,2.521,1.465,0.837,0.508,58.703,34.967,7.658,25.825,6.339,1.764,1.962,6.05,1.14,2.836,0.538
RelativeimportanceNov.2023,100.0,13.424,8.553,1.162,1.782,0.78,1.468,1.03,2.331,4.87,6.741,3.473,0.131,3.283,3.194,3.267,2.522,0.745,79.836,20.781,2.464,4.222,2.544,1.475,0.837,0.515,59.055,35.17,7.714,26.018,6.374,1.777,1.968,6.127,1.145,2.874,0.543
RelativeimportanceDec.2023,100.0,13.555,8.167,1.066,1.722,0.748,1.41,1.027,2.193,5.388,6.655,3.539,0.084,3.372,3.261,3.116,2.428,0.688,79.79,18.891,2.512,3.684,2.012,1.489,0.854,0.542,60.899,36.191,7.671,26.769,6.515,1.828,1.987,6.294,1.233,2.794,0.751
RelativeimportanceJan.2024,100.0,13.561,8.177,1.062,1.711,0.747,1.421,1.044,2.193,5.384,6.644,3.467,0.083,3.3,3.194,3.177,2.483,0.695,79.794,18.82,2.541,3.671,1.926,1.472,0.852,0.54,60.974,36.222,7.655,26.766,6.543,1.829,2.007,6.304,1.237,2.828,0.76
RelativeimportanceFeb.2024,100.0,13.495,8.138,1.062,1.702,0.738,1.409,1.04,2.188,5.356,6.748,3.588,0.084,3.419,3.312,3.16,2.464,0.695,79.758,18.805,2.605,3.648,1.921,1.464,0.848,0.541,60.953,36.184,7.639,26.713,6.501,1.814,1.983,6.39,1.234,2.854,0.806
RelativeimportanceMar.2024,100.0,13.421,8.085,1.049,1.705,0.73,1.395,1.035,2.171,5.336,6.915,3.775,0.081,3.61,3.503,3.139,2.465,0.674,79.664,18.698,2.621,3.618,1.918,1.457,0.843,0.54,60.967,36.159,7.618,26.64,6.496,1.805,1.99,6.481,1.247,2.911,0.808
